route_id,scheduled_time,actual_time,weather,passenger_count,latitude,longitude
3,1/1/2025 0:00,1:22,SUN,250,999,
Route-4,1/1/2025 1:00,224,Sunny,250,24.64387847,32.63629561
R03,1/1/2025 2:00,345,sunny,250,24.363132,31.18681932
Route-4,1/1/2025 3:00,529,cloudy,36,25.53307125,32.53750795
Route-4,1/1/2025 4:00,04.56AM,cloudy,76,23.29424774,33.41921085
R2,1/1/2025 5:00,05.43AM,Sunny,,24.46472341,32.37771963
R03,1/1/2025 6:00,08.43AM,cloudy,61,23.45014599,31.15586973
R03,1/1/2025 7:00,815,CLOUDY,250,23.97402778,33.3588346
R03,1/1/2025 8:00,10.24AM,sunny,76,25.21207123,31.60409135
Route-4,1/1/2025 9:00,9:06,,-5,24.42805439,31.7758625
3,1/1/2025 10:00,1245,cloudy,91,24.12766486,31.49411906
R03,1/1/2025 11:00,1115,SUN,47,24.18342884,31.99064519
Route-4,1/1/2025 12:00,14:21,CLOUDY,44,24.37834031,33.27025452
R2,1/1/2025 13:00,,cloudy,-5,25.35504963,32.55815758
3,1/1/2025 14:00,,CLOUDY,-5,25.67625407,31.61464382
R2,1/1/2025 15:00,15:09,clody,250,25.86600406,33.63349023
3,1/1/2025 16:00,,,-5,25.36071016,33.63874556
Route-4,1/1/2025 17:00,1911,Rainy,,23.94622069,33.61173528
R1,1/1/2025 18:00,07.21PM,SUN,250,25.06440412,31.71638863
3,1/1/2025 19:00,,SUN,250,24.31280937,32.35371803
R2,1/1/2025 20:00,2115,sunny,-5,23.76401187,33.95496897
Route-4,1/1/2025 21:00,09.52PM,CLOUDY,250,25.52261474,33.31603743
3,1/1/2025 22:00,10.47PM,Sunny,104,23.11527905,31.08150226
R1,1/1/2025 23:00,,SUN,97,25.70528598,31.19561377
R1,1/2/2025 0:00,,CLOUDY,-5,24.38443239,32.39179413
R03,1/2/2025 1:00,143,CLOUDY,73,24.91160443,33.72766062
R03,1/2/2025 2:00,1:57,rain,-5,24.97806177,32.61610539
R2,1/2/2025 3:00,4:37,rain,250,25.68535322,32.49343752
3,1/2/2025 4:00,3:55,Rainy,250,24.91000905,31.3164211
3,1/2/2025 5:00,623,clody,63,24.84180075,32.97034031
R03,1/2/2025 6:00,8:37,Rainy,250,23.19995612,33.46630948
3,1/2/2025 7:00,08.35AM,cloudy,250,24.55522407,32.14126002
3,1/2/2025 8:00,,Sunny,,23.450507,33.32683555
R1,1/2/2025 9:00,09.08AM,cloudy,-5,25.21230131,33.89342996
R03,1/2/2025 10:00,,cloudy,-5,24.53666576,31.61129938
Route-4,1/2/2025 11:00,,sunny,-5,25.04068334,32.56998889
R03,1/2/2025 12:00,1212,cloudy,,23.1250187,31.86141387
Route-4,1/2/2025 13:00,02.58PM,Rainy,-5,23.25437605,33.37856326
R1,1/2/2025 14:00,02.23PM,SUN,250,25.14897016,32.7327801
R2,1/2/2025 15:00,,SUN,,23.21625301,32.90374725
3,1/2/2025 16:00,17:46,rain,97,23.21377018,33.39374248
R1,1/2/2025 17:00,05.58PM,Sunny,98,23.03632543,32.18791142
3,1/2/2025 18:00,07.05PM,Sunny,-5,25.86950419,33.74527021
R2,1/2/2025 19:00,20:15,sunny,250,25.21252508,32.5990866
R2,1/2/2025 20:00,2058,Rainy,250,24.05975423,31.47386447
R1,1/2/2025 21:00,,rain,66,23.88960674,33.08769735
R2,1/2/2025 22:00,12.13AM,Sunny,55,24.04910969,33.37978405
Route-4,1/2/2025 23:00,14,SUN,79,25.32396059,31.95028503
R2,1/3/2025 0:00,130,cloudy,-5,24.98411183,33.57153777
3,1/3/2025 1:00,,cloudy,-5,23.5555867,33.71842976
3,1/3/2025 2:00,03.29AM,rain,-5,999,
3,1/3/2025 3:00,05.07AM,Rainy,34,23.29518695,33.95056442
3,1/3/2025 4:00,5:25,Rainy,250,24.98090816,31.42213458
Route-4,1/3/2025 5:00,453,clody,-5,25.29311799,31.60604701
R03,1/3/2025 6:00,757,,45,23.79513928,31.55267452
R1,1/3/2025 7:00,09.09AM,Sunny,-5,23.06283488,33.68196913
3,1/3/2025 8:00,8:22,Rainy,-5,23.246515,32.96287766
R2,1/3/2025 9:00,11:40,SUN,63,25.9035801,31.45631285
3,1/3/2025 10:00,10:54,rain,250,23.88633433,32.32097026
R2,1/3/2025 11:00,11:32,clody,250,25.30766944,32.84589408
R2,1/3/2025 12:00,,CLOUDY,107,24.87399071,31.25039225
3,1/3/2025 13:00,14:59,sunny,-5,24.14581892,33.64724911
Route-4,1/3/2025 14:00,,CLOUDY,116,23.61706179,33.41081061
R2,1/3/2025 15:00,04.10PM,cloudy,-5,23.36415925,32.51562032
R2,1/3/2025 16:00,06.23PM,sunny,80,24.8450389,33.90137985
3,1/3/2025 17:00,,Sunny,,25.32390134,32.25328294
R2,1/3/2025 18:00,1934,SUN,-5,24.93171276,33.95233096
R2,1/3/2025 19:00,20:43,sunny,-5,24.5909064,33.00376
3,1/3/2025 20:00,21:49,,250,23.12585367,32.90401382
3,1/3/2025 21:00,11.33PM,CLOUDY,250,25.90546633,31.49786469
R1,1/3/2025 22:00,21,Sunny,40,25.39614257,33.64578327
Route-4,1/3/2025 23:00,11.25PM,,-5,23.87846611,32.28246906
Route-4,1/4/2025 0:00,125,cloudy,85,25.93991099,31.48670022
R2,1/4/2025 1:00,1:26,,250,24.80564477,31.03782256
Route-4,1/4/2025 2:00,2:12,clody,1,24.74726797,32.67926705
R2,1/4/2025 3:00,3:19,clody,,25.24421954,32.58219887
R1,1/4/2025 4:00,5:13,rain,32,25.43530936,33.15806087
3,1/4/2025 5:00,756,Sunny,,24.96943582,33.67077416
3,1/4/2025 6:00,8:09,cloudy,250,23.38428724,31.23821975
3,1/4/2025 7:00,8:05,Rainy,250,24.01480252,33.19448947
Route-4,1/4/2025 8:00,957,clody,250,25.78425092,31.56223583
R1,1/4/2025 9:00,11:13,Sunny,-5,23.67384684,33.57453116
Route-4,1/4/2025 10:00,,Rainy,5,24.11650107,33.45719054
Route-4,1/4/2025 11:00,1349,rain,-5,24.29623065,32.62238126
R1,1/4/2025 12:00,1242,,250,24.31821497,33.1307284
R1,1/4/2025 13:00,13:28,clody,250,24.83881875,31.94305034
R1,1/4/2025 14:00,1655,Sunny,-5,25.82922751,32.4135037
R1,1/4/2025 15:00,16:51,sunny,250,23.72207814,33.46491069
3,1/4/2025 16:00,05.04PM,Rainy,-5,23.36450413,32.37779559
R03,1/4/2025 17:00,04.58PM,,250,23.59241147,32.0733948
R03,1/4/2025 18:00,20:14,clody,250,25.6607747,32.48263734
R1,1/4/2025 19:00,21:43,cloudy,11,24.93743244,33.48474776
R03,1/4/2025 20:00,10.06PM,Rainy,250,23.85772037,32.00562414
R03,1/4/2025 21:00,20:54,clody,109,25.44784082,31.52128478
R1,1/4/2025 22:00,,Rainy,118,25.58410999,33.13604206
R03,1/4/2025 23:00,0:38,,250,25.53954302,33.47793464
Route-4,1/5/2025 0:00,214,clody,,25.7567796,31.30191244
R2,1/5/2025 1:00,01.34AM,CLOUDY,36,23.75672306,31.71962234
R2,1/5/2025 2:00,2:08,Sunny,250,25.26512579,31.42591597
R1,1/5/2025 3:00,536,,60,24.38161849,32.04382423
3,1/5/2025 4:00,408,Rainy,78,999,
R1,1/5/2025 5:00,7:42,cloudy,250,25.18547203,33.24647901
3,1/5/2025 6:00,07.55AM,sunny,57,25.32934234,32.95344275
R2,1/5/2025 7:00,750,Rainy,250,24.96848551,32.8627857
R1,1/5/2025 8:00,750,Sunny,250,23.53228631,32.05712484
Route-4,1/5/2025 9:00,11:59,clody,95,24.63508076,33.52434266
R03,1/5/2025 10:00,11:42,sunny,250,25.95400922,32.4138615
3,1/5/2025 11:00,13:35,SUN,-5,25.8121642,33.93731481
R03,1/5/2025 12:00,12:33,Rainy,-5,23.12952121,32.90242641
R03,1/5/2025 13:00,1350,rain,250,23.49444445,31.37879422
R1,1/5/2025 14:00,15:47,SUN,-5,23.39518632,33.02853269
R03,1/5/2025 15:00,1733,Rainy,39,25.17793973,31.97531205
Route-4,1/5/2025 16:00,06.54PM,CLOUDY,250,25.45335599,33.05898159
R03,1/5/2025 17:00,05.38PM,rain,250,23.6405341,31.20892344
R1,1/5/2025 18:00,17:50,sunny,250,24.51755808,31.52464431
Route-4,1/5/2025 19:00,1852,cloudy,118,25.52210908,33.56721178
R2,1/5/2025 20:00,,CLOUDY,108,25.19840463,31.68153867
R03,1/5/2025 21:00,09.05PM,SUN,59,24.62671162,33.51112338
R1,1/5/2025 22:00,0:25,clody,-5,24.77104307,31.83782827
R2,1/5/2025 23:00,12.21AM,Sunny,-5,24.52508164,32.92864573
R2,1/6/2025 0:00,12.49AM,cloudy,88,23.89264535,33.08245172
3,1/6/2025 1:00,2:30,CLOUDY,34,24.69506598,32.53796426
Route-4,1/6/2025 2:00,04.24AM,clody,,25.06665591,31.91593203
R03,1/6/2025 3:00,,clody,75,25.61996875,31.63793313
R1,1/6/2025 4:00,6:26,Rainy,-5,24.90887406,31.09956806
3,1/6/2025 5:00,07.03AM,CLOUDY,250,25.28336461,31.9118392
Route-4,1/6/2025 6:00,6:36,sunny,250,23.4802149,32.95948837
3,1/6/2025 7:00,07.45AM,rain,104,24.38467242,33.81491446
Route-4,1/6/2025 8:00,9:38,rain,-5,23.02799486,33.61361345
Route-4,1/6/2025 9:00,,SUN,250,23.74003659,33.29819433
R03,1/6/2025 10:00,10.54AM,SUN,106,25.17938515,33.36534203
Route-4,1/6/2025 11:00,1346,rain,75,25.97542985,32.99495471
3,1/6/2025 12:00,12:52,sunny,-5,23.2975343,31.78086057
Route-4,1/6/2025 13:00,13:16,Sunny,-5,24.20448295,33.72158509
R03,1/6/2025 14:00,15:27,,250,25.40021291,33.01219694
R03,1/6/2025 15:00,16:58,Sunny,,23.6121069,32.68132189
3,1/6/2025 16:00,,Rainy,250,24.66525485,31.33296841
R2,1/6/2025 17:00,18:24,,,25.19921389,32.34116663
R2,1/6/2025 18:00,2050,,69,24.84795635,32.38107481
Route-4,1/6/2025 19:00,09.34PM,CLOUDY,68,23.5640742,33.59369083
R1,1/6/2025 20:00,22:14,sunny,250,24.06615371,32.63994466
Route-4,1/6/2025 21:00,22:39,sunny,-5,25.35137535,32.14120165
3,1/6/2025 22:00,09.53PM,,,24.66267954,33.93040099
3,1/6/2025 23:00,11.21PM,CLOUDY,49,23.01568884,31.33216178
3,1/7/2025 0:00,101,,-5,25.28297228,32.26764528
3,1/7/2025 1:00,03.31AM,cloudy,250,23.10593406,31.12607403
3,1/7/2025 2:00,03.52AM,SUN,250,25.23720135,33.21971236
R03,1/7/2025 3:00,3:43,SUN,250,23.60744168,33.75422966
R2,1/7/2025 4:00,,Sunny,118,25.87422044,31.84011199
3,1/7/2025 5:00,714,Rainy,-5,24.10382225,33.57502503
R1,1/7/2025 6:00,,SUN,33,999,
R1,1/7/2025 7:00,08.14AM,clody,-5,23.44666415,33.73231048
R1,1/7/2025 8:00,1048,Sunny,250,23.91681265,33.26188571
R1,1/7/2025 9:00,09.27AM,SUN,-5,25.62995229,33.41472033
R03,1/7/2025 10:00,1019,Rainy,-5,25.98900301,31.05401967
R1,1/7/2025 11:00,11:41,sunny,45,24.10492859,33.88843107
3,1/7/2025 12:00,01.08PM,sunny,250,24.34583189,33.18001298
Route-4,1/7/2025 13:00,13:40,,68,25.16621281,31.91425329
R1,1/7/2025 14:00,04.01PM,cloudy,250,25.65858734,33.48818399
R03,1/7/2025 15:00,16:03,sunny,-5,24.779133,31.8445636
R03,1/7/2025 16:00,04.58PM,CLOUDY,40,24.17457709,33.61826152
R1,1/7/2025 17:00,1855,SUN,72,24.23786552,31.33774117
Route-4,1/7/2025 18:00,1944,CLOUDY,-5,25.08685444,33.11105793
R1,1/7/2025 19:00,2152,Rainy,250,23.00965479,32.62209543
R03,1/7/2025 20:00,22:13,sunny,250,24.85876801,31.28960341
R2,1/7/2025 21:00,23:24,cloudy,12,24.06647903,31.72568148
